time,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0,-1.3294184915819918,3.6624332632947736,-2.4742360814962043,-1.199456060886563,-1.8169936481206603,-0.0033064372113121403
0.004166666666666667,-1.2012822635223146,3.360341111553006,-2.1789832424754665,-1.1697129964875526,-1.629641221063768,-0.04693136822743184
0.008333333333333333,-1.167434567007209,3.051424942286855,-1.9407084758646842,-1.0474576871123322,-1.4824333740563824,-0.10073836806368347
0.0125,-0.9987038941156926,2.719681674447691,-1.7137679240482004,-0.886039019054565,-1.3420051914813849,-0.15205038676956617
0.016666666666666666,-0.9417329463050012,2.458363185854611,-1.361214079051613,-1.037824667040249,-1.266661042289426,-0.036894956917230416
0.020833333333333332,-1.0047452962706647,2.425398344380355,-1.0838272733219,-1.303896355083905,-1.3457539669343224,0.00416531810653192
0.025,-1.0696697691738586,2.455721373065562,-0.7805096431790658,-1.5759869735446745,-1.4522946182387753,0.06962403301334034
0.029166666666666667,-1.1561338154044858,2.502821052813905,-0.4234964704570645,-1.8878514994364823,-1.5705178269738511,0.09834054072834648
0.03333333333333333,-1.1725831379062597,2.5161578694724835,-0.34172636587087535,-2.004639875196354,-1.610245283773223,0.08619955352644104
0.0375,-1.1835493529074423,2.5250490805782024,-0.2872129628134159,-2.0824987923696017,-1.6367302549728042,0.07810556205850408
0.041666666666666664,-1.194515567908625,2.5339402916839218,-0.23269955975595655,-2.1603577095428492,-1.6632152261723856,0.07001157059056712
0.04583333333333333,-1.247423550393307,2.567239501378925,0.0625047223320395,-2.5102089725285417,-1.764799175093795,0.020104689609465792
0.05,-1.257859414404035,2.5790511913354286,0.10314194519522386,-2.5933054445569104,-1.7991482683195832,0.01619202150527372
0.05416666666666667,-1.2735132104201268,2.596768726270184,0.16409777949000037,-2.7179501525994634,-1.850671908158265,0.010323019348985612
